,Open,Close,Time,High,Low
95,411.02,411.12,2014-07-23T09:28:00+0530,411.25,410.88
96,416.41,416.27,2014-07-24T09:28:00+0530,416.57,416.17
97,421.02,420.85,2014-07-25T09:28:00+0530,421.05,420.53
98,421.94,422.5,2014-07-28T09:28:00+0530,422.5,421.88
99,422.54,422.61,2014-07-30T09:28:00+0530,422.75,422.47
100,421.37,421.15,2014-08-01T09:28:00+0530,421.53,421.11
101,421.52,421.61,2014-08-04T09:28:00+0530,421.67,421.25
102,435.38,435.38,2014-08-05T09:28:00+0530,435.5,435.07
103,447.82,447.5,2014-08-06T09:28:00+0530,447.82,447.21
104,440.29,440.47,2014-08-07T09:28:00+0530,441.24,439.91
105,437.81,437.7,2014-08-08T09:28:00+0530,437.81,437.5
106,439.49,439.55,2014-08-11T09:28:00+0530,439.63,439.31
107,444.75,445,2014-08-12T09:28:00+0530,445,444.42
108,444.77,445.09,2014-08-13T09:28:00+0530,445.52,444.77
109,451.07,451.38,2014-08-14T09:28:00+0530,452,451.07
110,447.38,447.49,2014-08-18T09:28:00+0530,447.57,447.25
111,447.49,447.52,2014-08-19T09:28:00+0530,447.67,447.47
112,445.84,445.84,2014-08-20T09:28:00+0530,446,445.84
113,444.11,443.96,2014-08-21T09:28:00+0530,444.17,443.94
114,448.57,448.5,2014-08-22T09:28:00+0530,448.73,448.4
115,446.74,446.94,2014-08-25T09:28:00+0530,446.94,446.63
116,453.5,453.37,2014-08-26T09:28:00+0530,453.5,453.1
117,452.67,452.64,2014-08-27T09:28:00+0530,452.67,452.64
118,453.14,453.04,2014-08-28T09:28:00+0530,453.38,453.04
119,451.01,450.69,2014-09-01T09:28:00+0530,451.01,450.52
120,446.13,446.95,2014-09-02T09:28:00+0530,447,446.13
121,457.13,457.37,2014-09-03T09:28:00+0530,457.38,457.13
122,464.12,463.98,2014-09-04T09:28:00+0530,464.2,463.79
123,470.75,470.62,2014-09-05T09:28:00+0530,471,470.44
124,468.89,468.92,2014-09-08T09:28:00+0530,469.02,468.88
125,467.95,468.01,2014-09-09T09:28:00+0530,468.19,467.95
126,460.64,461,2014-09-10T09:28:00+0530,461.1,460.52
127,460.94,461,2014-09-11T09:28:00+0530,461.21,460.88
128,463,463.13,2014-09-12T09:28:00+0530,463.13,463
129,454.74,454.78,2014-09-15T09:28:00+0530,455.07,454.65
130,455.92,455.75,2014-09-16T09:28:00+0530,455.92,455.53
131,460.4,460.34,2014-09-17T09:28:00+0530,460.5,460.14
132,460.25,459.88,2014-09-18T09:28:00+0530,460.38,459.76
133,463.13,462.63,2014-09-19T09:28:00+0530,463.14,462.63
134,456.37,456.14,2014-09-22T09:28:00+0530,456.37,455.92
135,459.5,459.52,2014-09-23T09:28:00+0530,459.63,459.45
136,453.94,454.22,2014-09-24T09:28:00+0530,454.35,453.94
137,460.28,460.08,2014-09-25T09:28:00+0530,460.38,460.07
138,461.57,461.46,2014-09-26T09:28:00+0530,461.63,461.34
139,462.55,462.93,2014-09-29T09:28:00+0530,463.09,462.52
140,465.97,465.86,2014-09-30T09:28:00+0530,466.04,465.67
141,470.23,470.37,2014-10-01T09:28:00+0530,470.44,470.17
142,480.24,480.13,2014-10-07T09:28:00+0530,480.38,479.88
143,473.11,472.95,2014-10-08T09:28:00+0530,473.18,472.93
144,461.69,461.04,2014-10-09T09:28:00+0530,461.69,461
145,477.52,477.69,2014-10-10T09:28:00+0530,478.22,476.78
146,492.06,491.51,2014-10-13T09:28:00+0530,492.1,491.28
147,488.13,487.82,2014-10-14T09:28:00+0530,488.13,487.5
148,489.03,489.25,2014-10-16T09:28:00+0530,489.57,488.88
149,487.12,486.38,2014-10-17T09:28:00+0530,487.16,485.85
150,479.85,480.04,2014-10-20T09:28:00+0530,480.55,479.83
151,478.75,478.05,2014-10-21T09:28:00+0530,478.75,477.6
152,473.88,474.37,2014-10-22T09:28:00+0530,474.47,473.74
153,475.2,475.57,2014-10-27T09:28:00+0530,475.69,475.2
154,473.94,473.98,2014-10-28T09:28:00+0530,474,473.84
155,477.5,477.44,2014-10-29T09:28:00+0530,477.9,477.44
156,489.68,489.79,2014-10-30T09:28:00+0530,489.91,489.63
157,511.29,512,2014-11-03T09:28:00+0530,512.13,511.29
158,518.95,519,2014-11-07T09:28:00+0530,519.1,518.92
159,521.48,521.11,2014-11-10T09:28:00+0530,521.63,520.82
160,518.89,518.87,2014-11-11T09:28:00+0530,518.97,518.77
161,517.09,517,2014-11-12T09:28:00+0530,517.25,516.81
162,515.57,515.33,2014-11-13T09:28:00+0530,515.88,515.04
163,522.25,522.44,2014-11-14T09:28:00+0530,522.49,522
164,519.73,520.37,2014-11-17T09:28:00+0530,520.63,519.73
165,525.07,525.02,2014-11-18T09:28:00+0530,525.18,524.76
166,520.63,520.13,2014-11-19T09:28:00+0530,520.64,520.04
167,523.25,523.63,2014-11-20T09:28:00+0530,524.02,523.25
168,519.64,519.31,2014-11-21T09:28:00+0530,519.74,519.31
