,Time,Open,High,Low,Close,Volume
1732,2016-12-12,766.4,766.89,757.2,760.12,2963945
1733,2016-12-13,764.96,782.46,762,774.34,5285288
1734,2016-12-14,778.25,780.86,762.81,768.82,5454836
1735,2016-12-15,766.28,769.1,760.31,761,3801927
1736,2016-12-16,765,765.13,754,757.77,4848219
1737,2016-12-19,758.89,770.5,756.16,766,3113240
1738,2016-12-20,768.65,774.39,767.71,771.22,2703629
1739,2016-12-21,770,771.22,765.7,770.6,2044629
1740,2016-12-22,768.12,771.21,763.02,766.34,2543551
1741,2016-12-23,764.55,766.5,757.99,760.59,1981616
1742,2016-12-27,763.4,774.65,761.2,771.4,2638725
1743,2016-12-28,776.25,780,770.5,772.13,3301025
1744,2016-12-29,772.4,773.4,760.85,765.15,3158299
1745,2017-01-03,757.92,758.7595,747.7,753.67,3521066
1746,2017-01-04,758.39,759.68,754.2,757.18,2510526
1747,2017-01-05,761.55,782.3999,760.2557,780.45,5830068
1748,2017-01-06,782.36,799.44,778.48,795.99,5986234
1749,2017-01-09,798,801.7742,791.77,796.92,3446109
1750,2017-01-10,796.6,798,789.5434,795.9,2558369
1751,2017-01-11,793.66,799.5,789.51,799.02,2992791
1752,2017-01-12,800.31,814.13,799.5,813.64,4873922
1753,2017-01-13,814.32,821.65,811.4,817.14,3791945
1754,2017-01-17,815.7,816,803.44,809.72,3670529
1755,2017-01-18,809.5,811.73,804.27,807.48,2354201
1756,2017-01-19,810,813.51,807.32,809.04,2540784
1757,2017-01-20,815.28,816.02,806.26,808.33,3376196
1758,2017-01-23,806.8,818.5,805.08,817.88,2797474
1759,2017-01-24,822,823.99,814.5,822.44,2971740
1760,2017-01-25,825.79,837.4183,825.288,836.52,4023078
1761,2017-01-26,835.53,843.84,833,839.15,3586323
1762,2017-01-27,839,839.7,829.44,835.77,2998700
1763,2017-01-30,833,833.5,816.38,830.38,3747336
1764,2017-01-31,823.75,826.99,819.56,823.48,3137196
1765,2017-02-01,829.21,833.78,824.94,832.35,3850181
1766,2017-02-02,836.59,842.49,828.26,839.95,7350492
1767,2017-02-03,806.72,818.3,804,810.2,10868773
1768,2017-02-06,809.8,810.72,803,807.64,3897301
1769,2017-02-07,809.31,816.16,807.5,812.5,3466091
1770,2017-02-08,812.69,821.4789999999999,812.5,819.71,2857985
1771,2017-02-09,821.6,825,819.71,821.36,2484948
1772,2017-02-10,823.82,828,822.85,827.46,2429609
1773,2017-02-13,831.62,842.9999,828.55,836.53,4172618
1774,2017-02-14,837,838.31,831.4522,836.39,2792442
1775,2017-02-15,834,842.81,832.82,842.7,2968853
1776,2017-02-16,841.84,845,839.375,844.14,2714667
1777,2017-02-17,842,847.27,840.73,845.07,3112275
1778,2017-02-21,848.84,857.98,847.25,856.44,3507742
1779,2017-02-22,856.95,858.43,852.18,855.61,2616971
1780,2017-02-23,857.57,860.86,848,852.19,3461984
1781,2017-02-24,844.69,845.81,837.7501,845.24,3687963
1782,2017-02-27,842.38,852.5,839.67,848.64,2713627
1783,2017-02-28,851.45,854.09,842.05,845.04,2793709
1784,2017-03-01,853.05,854.83,849.01,853.08,2760083
1785,2017-03-02,853.08,854.82,847.28,848.91,2132098
1786,2017-03-03,847.2,851.985,846.27,849.88,1951575
1787,2017-03-06,845.23,848.49,841.12,846.61,2610370
1788,2017-03-07,845.48,848.46,843.75,846.02,2247554
1789,2017-03-08,848,853.07,846.79,850.5,2288317
1790,2017-03-09,851,856.3999,850.31,853,2048187
1791,2017-03-10,857,857.35,851.72,852.46,2436434
1792,2017-03-13,851.77,855.69,851.71,854.59,1909672
1793,2017-03-14,853.55,853.75,847.55,852.53,2130586
1794,2017-03-15,854.33,854.45,847.11,852.97,2562176
1795,2017-03-16,855.3,855.5,850.51,853.42,1842296
1796,2017-03-17,853.49,853.83,850.64,852.31,3384403
1797,2017-03-20,851.51,857.8,851.01,856.97,2282727
1798,2017-03-21,858.84,862.795,841.31,843.2,4382852
1799,2017-03-22,840.43,849.37,839.05,848.06,2658669
1800,2017-03-23,848.2,850.89,844.8,847.38,1952964
1801,2017-03-24,851.68,851.8,843.53,845.61,2138269
1802,2017-03-27,838.07,850.3,833.5,846.82,2755775
1803,2017-03-28,851.75,858.46,850.1,856,3041633
1804,2017-03-29,859.05,876.438,859.02,874.32,4485770
1805,2017-03-30,874.95,877.06,871.66,876.34,2762730
1806,2017-03-31,877,890.35,876.65,886.54,3957612
1807,2017-04-03,888,893.49,885.42,891.51,3422328
1808,2017-04-04,891.5,908.5384,890.28,906.83,4984656
1809,2017-04-05,910.82,923.72,905.62,909.28,7508370
1810,2017-04-06,913.8,917.1899,894.4927,898.28,6344065
1811,2017-04-07,899.65,900.09,889.31,894.88,3707367
1812,2017-04-10,899.63,908.51,899,907.04,3184301
1813,2017-04-11,907.04,911.24,897.5,902.36,3012743
1814,2017-04-12,903.09,904.09,895.2501,896.23,2456140
1815,2017-04-13,891.45,894.97,884.49,884.67,3174583
1816,2017-04-17,887.5,902.38,887.5,901.99,2854673
1817,2017-04-18,900.99,909.61,900.78,903.78,2999238
1818,2017-04-19,907.84,910.5,897.3689999999999,899.2,2870242
1819,2017-04-20,899.7,905.32,896.29,902.06,2814441
1820,2017-04-21,902.67,903.65,896.77,898.53,2420494
1821,2017-04-24,908.68,909.99,903.82,907.41,3118123
1822,2017-04-25,907.04,909.48,903,907.62,3380639
1823,2017-04-26,910.3,915.7489999999999,907.56,909.29,2608948
1824,2017-04-27,914.39,921.86,912.11,918.38,5305543
1825,2017-04-28,948.83,949.59,924.3335,924.99,7364681
1826,2017-05-01,927.8,954.4,927.8,948.23,5466544
1827,2017-05-02,946.645,950.1,941.413,946.94,3848835
1828,2017-05-03,946,946,935.9,941.03,3582686
1829,2017-05-04,944.75,945,934.215,937.53,2418381
1830,2017-05-05,940.52,940.79,930.3,934.15,2866397
1831,2017-05-08,940.95,949.05,939.21,949.04,3415731
1832,2017-05-09,952.8,957.89,950.2,952.82,3262113
1833,2017-05-10,953.5,953.7499,945,948.95,2096512
1834,2017-05-11,945.11,950.29,940.775,947.62,2194070
1835,2017-05-12,954.5,962.79,951.53,961.35,3625857
1836,2017-05-15,958.73,963.15,956.055,957.97,4270625
1837,2017-05-16,961,970.06,960.91,966.07,3126051
1838,2017-05-17,954.7,960.3957,944.12,944.76,5145578
1839,2017-05-18,944.8,962.75,944.76,958.49,3939347
1840,2017-05-19,962.84,968.92,959.72,959.84,3972089
1841,2017-05-22,964,971.38,962.9,970.67,2642217
1842,2017-05-23,975.02,975.2,966.85,971.54,2415594
1843,2017-05-24,976,981,970.23,980.35,2463052
1844,2017-05-25,984.85,999,982.11,993.38,4822032
1845,2017-05-26,995,998.65,989.2491,995.78,3469154
1846,2017-05-30,996.51,1001.2,995.52,996.7,3263069
1847,2017-05-31,1000,1000.12,982.16,994.62,3913115
1848,2017-06-01,998.59,998.99,991.37,995.95,2454841
1849,2017-06-02,998.99,1008.48,995.67,1006.73,3752328
1850,2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859
1851,2017-06-06,1012,1016.5,1001.25,1003,3346432
1852,2017-06-07,1005.95,1010.25,1002,1010.07,2823041
1853,2017-06-08,1012.06,1013.61,1006.11,1010.27,2767857
1854,2017-06-09,1012.5,1012.99,927,978.31,7647692
1855,2017-06-12,967,975.95,945,964.91,9447233
1856,2017-06-13,977.99,984.5,966.1,980.79,4580011
1857,2017-06-14,988.59,990.34,966.71,976.47,3974900
1858,2017-06-15,958.7,965.73,950.86,964.17,5373865
1859,2017-06-16,996,999.75,982,987.71,11472662
1860,2017-06-19,1017,1017,989.9,995.17,5043408
1861,2017-06-20,998,1004.88,992.02,992.59,4076828
1862,2017-06-21,998.7,1002.72,992.6518,1002.23,2922473
1863,2017-06-22,1002.23,1006.96,997.2,1001.3,2253433
1864,2017-06-23,1002.54,1004.62,998.02,1003.74,2879145
1865,2017-06-26,1008.5,1009.8,992,993.98,3386157
1866,2017-06-27,990.69,998.8,976,976.78,3782389
