,Time,Open,High,Low,Close,Volume,polariti
532,2012-02-27,177.54,179.19,176.5,178.53,3706200,0.21993
533,2012-02-28,178.9,184.29,177.95,183.8,5764500,0.36915263157894745
534,2012-02-29,183.89,184.0,179.01,179.69,5300300,0.1842
535,2012-03-01,179.89,180.49,176.58,180.04,4936000,0.31954
536,2012-03-02,179.48,181.84,178.918,179.3,3657800,0.34854
537,2012-03-05,179.0,181.82,178.18,180.26,4682700,0.2581421052631579
538,2012-03-06,178.68,183.5,178.04,181.09,5612200,0.3962450000000001
539,2012-03-07,182.65,185.5,182.4,183.77,4951500,0.30741500000000005
540,2012-03-08,184.17,188.38,183.8,187.64,4221500,0.19631500000000002
541,2012-03-09,186.79,187.2,183.44,184.32,4510600,0.3368052631578947
542,2012-03-12,184.13,185.4,182.2,183.39,2587600,0.10134999999999998
543,2012-03-13,183.92,184.87,180.77,184.59,4405800,0.219505
544,2012-03-14,183.65,184.3199,181.14,182.26,3699700,0.27319
545,2012-03-15,182.02,184.43,180.3,184.43,4160100,0.26025
546,2012-03-16,183.28,185.68,182.35,185.05,4934000,0.14584000000000005
547,2012-03-19,183.45,186.68,183.0,185.52,3903400,0.24417500000000006
548,2012-03-20,184.88,194.41,182.88,192.33,9165400,0.238015
549,2012-03-21,192.5,194.28,191.26,191.73,4214400,0.3660250000000001
550,2012-03-22,190.54,194.06,190.26,192.4,3739600,0.255515
551,2012-03-23,192.01,196.2,191.8,195.04,5984000,0.2823684210526316
552,2012-03-26,196.48,202.97,195.5,202.87,7613700,0.24857000000000004
553,2012-03-27,203.59,209.85,202.88,205.44,9600800,0.29127000000000003
554,2012-03-28,206.14,207.0,200.31,201.16,6245000,0.13465500000000002
555,2012-03-29,201.28,205.31,200.63,204.61,5711200,0.22238
556,2012-03-30,205.02,206.85,201.87,202.51,4438100,0.1882050000000001
557,2012-04-02,198.02,199.9,197.0,198.05,6430300,0.32666999999999996
558,2012-04-03,198.24,202.39,197.5,199.66,5000700,0.32227500000000003
559,2012-04-04,196.95,197.68,192.36,193.99,5456900,0.2333947368421053
560,2012-04-05,193.55,196.03,193.55,194.39,3217500,0.2432705882352941
561,2012-04-09,192.02,194.2,190.5,191.87,3135900,0.3422944444444445
562,2012-04-10,192.75,193.52,186.57,186.98,4455000,0.181405
563,2012-04-11,189.63,191.97,186.79,187.97,4337800,0.28683000000000003
564,2012-04-12,188.06,192.26,185.61,190.69,4027900,0.247405
565,2012-04-13,189.9,189.94,186.26,188.46,3431800,0.3365900000000001
566,2012-04-16,189.01,189.47,183.65,185.5,4044300,0.35556842105263164
567,2012-04-17,187.21,190.04,186.87,188.39,2829200,0.457185
568,2012-04-18,188.82,193.45,188.74,191.07,4001900,0.4419736842105264
569,2012-04-19,192.93,194.55,189.75,191.1,4002400,0.25354499999999996
570,2012-04-20,192.34,193.48,189.8,189.98,3243600,0.26419000000000004
571,2012-04-23,188.99,188.99,185.51,188.24,3481000,0.6188600000000001
572,2012-04-24,188.68,190.7,186.51,190.33,3376300,0.31914499999999996
573,2012-04-25,191.67,194.8,191.6,194.42,3955100,0.19798947368421047
574,2012-04-26,193.57,196.36,193.02,195.99,10234000,0.195145
575,2012-04-27,224.83,228.69,220.22,226.85,22116900,0.17780500000000005
576,2012-04-30,223.95,233.84,223.05,231.9,9756900,0.32582999999999995
577,2012-05-01,229.4,232.97,228.4,230.04,6754900,0.21142
578,2012-05-02,227.82,231.44,227.4,230.25,4593400,0.439145
579,2012-05-03,229.74,232.53,228.03,229.45,4055500,0.2855421052631579
580,2012-05-04,227.8,229.7199,223.74,223.99,4585200,0.025221052631578943
581,2012-05-07,222.36,226.8675,222.29,225.16,3314300,0.18200500000000006
582,2012-05-08,223.15,225.39,218.2,223.9,4522400,0.318295
583,2012-05-09,220.59,225.78,220.16,222.98,3712000,0.212285
584,2012-05-10,223.91,229.08,221.95,226.69,4648400,0.239145
585,2012-05-11,225.95,230.68,225.73,227.68,4193600,0.32272
586,2012-05-14,225.6,227.29,222.51,222.93,3096600,0.18297
587,2012-05-15,226.5,230.61,223.0,224.39,5713700,0.04094
588,2012-05-16,225.0,228.0,222.5,224.06,5261800,0.362625
589,2012-05-17,225.05,226.0,218.09,218.36,4505500,0.373478947368421
590,2012-05-18,219.41,219.63,212.81,213.85,5231700,0.230335
591,2012-05-21,214.03,219.98,212.82,218.11,3579800,0.31143000000000004
592,2012-05-22,218.31,218.87,213.96,215.33,3733100,0.3013900000000001
593,2012-05-23,214.71,217.55,211.18,217.28,4243800,0.2829450000000001
594,2012-05-24,216.98,217.66,212.7,215.24,3141100,0.28454500000000005
595,2012-05-25,214.99,215.98,212.22,212.89,2171400,0.238275
596,2012-05-29,214.3,216.55,212.29,214.75,2693900,0.244975
597,2012-05-30,212.14,212.98,207.752,209.23,4078200,0.15630500000000008
598,2012-05-31,209.48,213.7878,207.11,212.91,4944000,0.32477500000000004
599,2012-06-01,208.44,211.23,207.3,208.22,3951500,0.3483200000000001
600,2012-06-04,207.4,215.35,206.37,214.57,4299600,0.3881
601,2012-06-05,213.85,216.86,211.16,213.21,3543900,0.27183
602,2012-06-06,214.63,218.4,214.52,217.64,2710100,0.235555
603,2012-06-07,219.65,221.49,218.11,218.8,3503900,0.23020500000000005
604,2012-06-08,218.61,219.42,216.66,218.48,2877000,0.31621
605,2012-06-11,217.49,220.87,215.2,216.5,3749100,0.2382700000000001
606,2012-06-12,217.65,218.0,214.5222,216.42,2833300,0.2521842105263158
607,2012-06-13,215.52,217.38,213.52,214.73,2325200,0.27881
608,2012-06-14,215.26,216.5,212.56,214.45,3060900,0.34721
609,2012-06-15,215.29,219.33,214.46,218.35,3785200,0.41993
610,2012-06-18,217.28,223.76,216.73,222.66,3369600,0.20890000000000006
611,2012-06-19,223.26,225.2,221.66,224.03,2716600,0.537575
612,2012-06-20,224.51,224.74,220.84,223.02,2444400,0.2450526315789474
613,2012-06-21,223.84,226.03,220.52,220.575,2843000,0.34911111111111115
614,2012-06-22,221.83,222.51,219.35,222.16,2187500,0.38265
615,2012-06-25,220.3,221.59,218.0,220.07,2382300,0.22216315789473684
616,2012-06-26,221.45,226.39,221.45,225.61,3754100,0.149875
617,2012-06-27,225.01,227.5,223.3,225.62,2799200,0.244635
618,2012-06-28,223.92,224.62,218.75,221.31,2994800,0.236565
619,2012-06-29,224.7,228.35,223.71,228.35,3614400,0.31276000000000004
620,2012-07-02,229.3,229.34,226.34,229.32,2330700,0.14163684210526314
621,2012-07-03,229.14,229.53,227.59,229.53,1331700,0.46531000000000006
622,2012-07-05,228.62,230.5,226.53,227.06,2682300,0.399415
623,2012-07-06,226.35,228.9,224.18,225.05,3203200,0.15143
624,2012-07-09,225.0,226.0,223.45,225.05,1922000,0.2806699999999999
625,2012-07-10,226.25,227.14,218.28,219.5,2982100,0.10994000000000001
626,2012-07-11,218.95,221.74,215.34,218.37,2734700,0.41189
627,2012-07-12,216.61,217.3,212.61,215.36,2616200,0.23083
628,2012-07-13,215.63,219.31,213.88,218.39,2221900,0.27075
629,2012-07-16,216.6,218.31,214.46,216.01,2004200,0.2939350000000001
630,2012-07-17,217.45,217.94,213.96,216.93,1987000,0.161545
631,2012-07-18,216.15,218.67,215.71,217.47,2093000,0.288045
632,2012-07-19,220.73,227.5,220.69,226.17,5449400,0.2922300000000001
633,2012-07-20,225.36,229.39,225.295,228.29,4170000,0.14623157894736846
634,2012-07-23,224.72,226.58,221.54,226.01,5515100,0.32445500000000005
635,2012-07-24,226.27,226.61,221.23,223.04,5008700,0.29811
636,2012-07-25,222.0,222.5,215.91,217.05,3646700,0.31300526315789473
637,2012-07-26,220.0,221.45,214.95,220.01,6937400,0.29613333333333336
638,2012-07-27,225.25,238.34,224.5,237.32,11313900,0.2735947368421052
639,2012-07-30,237.0,240.74,234.07,236.09,3736400,0.36738000000000004
640,2012-07-31,235.1,236.3,231.61,233.3,3453600,0.35251
641,2012-08-01,234.14,234.38,230.7001,232.09,2543800,0.229285
642,2012-08-02,230.56,234.34,228.66,230.81,3048100,0.20463000000000006
643,2012-08-03,234.03,236.49,233.03,234.97,2825300,0.25595
644,2012-08-06,235.56,235.74,233.81,233.99,1843700,0.11722631578947368
645,2012-08-07,234.13,238.0,233.25,236.56,2058300,0.30061578947368417
646,2012-08-08,235.29,236.45,233.592,234.38,1534300,0.09395
647,2012-08-09,233.93,235.99,233.5,234.06,1548100,0.320655
648,2012-08-10,233.08,234.85,231.43,232.75,1852500,0.498515
649,2012-08-13,232.23,234.3676,231.0,232.44,1997300,0.5122850000000001
650,2012-08-14,234.71,236.72,232.6207,233.19,2751000,0.2984052631578948
651,2012-08-15,232.26,238.14,232.25,237.42,3264700,0.179885
652,2012-08-16,237.72,242.825,236.2,241.55,4312100,0.337905
653,2012-08-17,240.6,243.35,240.47,241.17,3085800,0.27665500000000004
654,2012-08-20,241.3736,241.65,238.2,240.35,1889900,0.437521052631579
655,2012-08-21,240.88,243.85,238.55,239.45,2571500,0.3266947368421053
656,2012-08-22,239.4,244.9,238.8,243.1,2473700,0.31606
657,2012-08-23,242.14,243.48,239.02,241.19799999999998,2453900,0.2931800000000001
658,2012-08-24,241.68,246.87,241.36,245.74,3698800,0.16821999999999998
659,2012-08-27,245.79,247.5,243.12,243.92,2929700,0.12301000000000002
660,2012-08-28,243.97,246.7799,243.0,246.11,2742300,0.30018421052631583
661,2012-08-29,246.78,247.61,244.59,247.12,1772600,0.23392
662,2012-08-30,246.99,250.0,245.25,246.22,3647500,0.21303000000000002
663,2012-08-31,248.07,249.45,245.5001,248.27,3347500,0.29489499999999996
664,2012-09-04,248.27,251.0,244.66,247.88,3950800,0.17393157894736844
665,2012-09-05,247.61,248.61,245.3,246.22,2652600,0.15321999999999994
666,2012-09-06,248.23,252.7,247.2,251.38,5361400,0.05886
667,2012-09-07,253.85,259.42,253.52,259.14,5029500,0.2383400000000001
668,2012-09-10,259.0,260.0,256.82,257.09,2567200,0.4369749999999999
669,2012-09-11,257.6,257.6,254.26,255.67,2524800,0.23741000000000004
670,2012-09-12,256.5,257.78,253.5,255.63,2273200,0.17207999999999998
671,2012-09-13,254.94,262.0,253.8,260.24,3525600,0.14475
672,2012-09-14,261.4,264.11,259.77,261.27,3666200,0.15499000000000002
673,2012-09-17,261.25,261.25,257.0,258.0,2306300,0.27234
674,2012-09-18,258.48,260.5,257.0,258.75,2215000,0.2396950000000001
675,2012-09-19,259.45,262.84,258.53,261.68,2636800,0.29822000000000004
676,2012-09-20,260.03,260.87,258.0,260.81,2913600,0.24046000000000006
677,2012-09-21,261.74,262.0,256.74,257.47,6059300,0.26819499999999996
678,2012-09-24,255.22,255.6,253.0,254.805,2707900,0.26635000000000003
679,2012-09-25,256.33,258.95,251.03,252.46,4405800,0.194935
680,2012-09-26,252.4,254.61,248.23,249.67,2920500,0.18009473684210525
681,2012-09-27,250.54,257.4,250.52,256.59,3397400,0.16566315789473685
682,2012-09-28,256.14,257.0,253.2,254.32,2456600,0.31094
683,2012-10-01,255.4,256.16,250.49,252.01,2581200,0.35185000000000005
684,2012-10-02,252.8,253.15,249.03,250.6,2195800,0.31843999999999995
685,2012-10-03,251.21,256.1,249.56,255.92,2745600,0.32765000000000005
686,2012-10-04,256.01,261.52,255.87,260.47,2700400,0.07450500000000003
687,2012-10-05,261.2,261.9,257.49,258.51,2806500,0.22783000000000006
688,2012-10-08,257.67,259.8,255.56,259.06,1762300,0.2040684210526316
689,2012-10-09,258.67,259.35,250.73,250.96,3494800,0.31892
690,2012-10-10,252.0,252.46,244.01,244.99,3948300,0.329965
691,2012-10-11,248.0,249.3,241.89,244.22,3447300,0.352885
692,2012-10-12,243.33,245.46,241.91,242.36,2203200,0.364855
693,2012-10-15,242.85,244.77599999999998,238.51,244.18,2959800,0.3559842105263157
694,2012-10-16,244.87,245.77,242.08,243.94,2204100,0.3559052631578947
695,2012-10-17,243.37,248.7999,243.3,247.49,3302700,0.395495
696,2012-10-18,247.77,250.91,242.7,244.85,5305300,0.3279
697,2012-10-19,245.16,246.82,238.94,240.0,4395300,0.33562000000000003
698,2012-10-22,238.81,238.95,232.32,233.78,4500000,0.15125999999999998
699,2012-10-23,231.05,236.5,230.01,234.31,4430800,0.09264210526315787
700,2012-10-24,235.88,235.94,227.9501,228.49,3678700,0.33929000000000004
701,2012-10-25,230.92,230.92,222.92,222.92,6741300,0.24008421052631576
702,2012-10-26,228.6001,238.71,226.69,238.24,11367500,0.27955
703,2012-10-31,236.32,238.7,230.5,232.8931,4797600,0.297505
704,2012-11-01,234.23,234.55,231.34,232.14,3905100,0.29646
705,2012-11-02,234.01,237.4,232.11,232.4224,3374700,0.284045
706,2012-11-05,232.04,234.83,230.11,234.33,1846100,0.390475
707,2012-11-06,235.41,237.75,234.45,237.56,2661300,0.19414736842105265
708,2012-11-07,235.65,235.66,229.42,232.0608,3624200,0.25696500000000005
709,2012-11-08,232.22,233.45,227.1,227.35,2982400,0.34249500000000005
710,2012-11-09,226.26,230.97,224.6002,226.31,3092500,0.131725
711,2012-11-12,226.59,229.2199,225.41,226.47,2128800,0.28741000000000005
712,2012-11-13,225.12,227.9,224.71,226.6,2629800,0.232485
713,2012-11-14,226.5,227.41,222.51,222.95,3034100,0.235345
714,2012-11-15,222.3,225.16,218.18,220.59900000000002,3404700,0.17360526315789476
715,2012-11-16,221.31,226.25,218.64,225.23,4352800,0.32604
716,2012-11-19,228.32,232.5,227.45,229.71,3591200,0.6692549999999999
717,2012-11-20,230.0,233.82,229.5,233.78,2771700,0.25966999999999996
718,2012-11-21,233.84,238.67,232.75,238.03,2959300,0.118055
719,2012-11-23,239.89,240.0,236.48,239.88,1776800,0.23259500000000005
720,2012-11-26,240.39,244.31900000000002,238.0,243.62,4178300,0.2427
721,2012-11-27,243.22,245.67,241.54,243.4017,3048500,0.20554499999999998
722,2012-11-28,242.45,247.23,241.50400000000002,247.11,2743400,0.22921
723,2012-11-29,248.05,252.48,247.5,251.27,5310500,0.18035
724,2012-11-30,250.38,252.65,248.27,252.05,3797400,0.4399473684210527
725,2012-12-03,252.54,254.16,250.0,250.3291,2990600,0.385285
726,2012-12-04,249.94,253.0,248.66,252.4881,3114700,0.3557578947368422
727,2012-12-05,252.44,255.55,250.38,253.96,2852200,0.237645
728,2012-12-06,253.0,255.17,251.51,253.37,3557900,0.12226500000000001
